Address,General Price,Price/m,Area,Size,Rooms,Floor,Year,Link
Viieaia tee 28-52,94900,3365.25,"Lasnamäe linnaosa, Tallinn, Harju maakond",28.2,1,6/11,2025,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-viieaia-tee/4876156?i=25
Pärnu mnt 137-134,299900,3889.75,"Kesklinna linnaosa, Tallinn, Harju maakond",77.1,3,6/12,2024,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-parnu-mnt/1426199?i=26
Vasara tn 22a,99900,2010.06,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",49.7,2,5/5,1972,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-vasara-tn/5734794?i=27
Manufaktuuri tn 5-320,229000,5228.31,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",43.8,1,3/5,2026,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-manufaktuuri-tn/7974551?i=28
Nõmme tee 57-3,359900,4016.74,"Kristiine linnaosa, Tallinn, Harju maakond",89.6,4,N/A,2023,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-nomme-tee/3062435?i=29
Manufaktuuri tn 5-209,289000,5133.21,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",56.3,3,2/5,2026,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-manufaktuuri-tn/9105099?i=30
Nõmme tee 57-12,384900,4295.76,"Kristiine linnaosa, Tallinn, Harju maakond",89.6,4,2/3,2023,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-nomme-tee/6944526?i=31
Manufaktuuri tn 5-117,299000,5245.61,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",57,3,1/5,2026,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-manufaktuuri-tn/4503463?i=32
Nõmme tee 57-1,175900,4741.24,"Kristiine linnaosa, Tallinn, Harju maakond",37.1,1,1/3,2023,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-nomme-tee/7220771?i=33
Astangu tn 34,135000,2596.15,"Haabersti linnaosa, Tallinn, Harju maakond",52,2,5/5,1988,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-astangu-tn/7594632?i=34
